,slug,name,playtime,released,rating,rating_top,ratings_count,suggestions_count,reviews_text_count,added,reviews_count,esrb_rating,background_image
185,bridge-constructor-portal,Bridge Constructor Portal,3,2017-12-19,3.68,4,194,170,2,1155,197,everyone-10-plus,https://media.rawg.io/media/games/cc2/cc2a1f137e7166adebe419cbcc86d207.jpg
186,yakuza-6,Yakuza 6: The Song of Life,15,2016-04-17,4.39,5,162,561,6,1150,170,mature,https://media.rawg.io/media/games/e35/e355efef97722d50bec3482a2263b962.jpg
187,descenders,Descenders,2,2019-05-07,3.42,4,106,272,0,1126,106,everyone,https://media.rawg.io/media/screenshots/b9f/b9f558ec74f8519b7fa325175c0a65b0.jpg
188,rare-replay,Rare Replay,0,2015-08-04,3.7,4,168,457,1,1111,169,,https://media.rawg.io/media/screenshots/369/3696ff49a604521d3c0ba70c832ee42b.jpg
189,crackdown-3,Crackdown 3,0,2019-02-15,2.87,3,258,518,3,1073,262,mature,https://media.rawg.io/media/games/223/2236a6f4f479eed103d2d11addabb235.jpg
190,peggle-2,Peggle 2,4,2013-12-09,3.7,4,162,331,1,1069,164,,https://media.rawg.io/media/screenshots/946/94683098e0befd482e5c890bd03cda26.jpg
191,totally-accurate-battle-simulator,Totally Accurate Battle Simulator,2,2021-04-01,3.7,4,178,473,1,1069,179,,https://media.rawg.io/media/screenshots/82a/82a9e2b7caf052d0f140b70e350cf184.jpg
192,viva-pinata,Viva Piñata,34,2007-10-30,3.55,4,152,478,2,1066,154,everyone,https://media.rawg.io/media/screenshots/001/001003a4a5f2fd8d2c8c3949592c34cf.jpg
193,monster-train,Monster Train,7,2020-05-20,4.11,4,94,348,0,1052,94,,https://media.rawg.io/media/screenshots/3f5/3f58a7b2a2b290994eb798eb72ca3fb2.jpg
194,a-plague-tale-requiem,A Plague Tale: Requiem,4,2022-10-17,4.09,5,54,292,1,1047,57,mature,https://media.rawg.io/media/games/cd0/cd074f3f6045297cda9ad077273c09b6.jpg
195,serious-sam-4-planet-badass,Serious Sam 4,4,2020-09-24,3.2,4,148,382,1,1031,153,,https://media.rawg.io/media/games/6de/6de6fc22dcf802a549be5a41fabc84a9.jpg
196,forgotten-city,The Forgotten City,6,2021-07-28,4.26,5,151,242,3,1017,155,teen,https://media.rawg.io/media/games/6e9/6e9136f09bb9daaaed5a0e6d508028b4.jpg
197,medal-of-honor-airborne-2,Medal of Honor: Airborne,2,2007-10-06,3.72,4,232,618,0,991,232,teen,https://media.rawg.io/media/games/0d4/0d4508d6383dd6c63256b41f0aa35e6b.jpg
198,weird-west,Weird West,5,2022-03-31,3.82,4,88,365,2,984,91,mature,https://media.rawg.io/media/games/3ca/3ca6130eabf2e05275859166eaf5c66b.jpg
199,powerwash-simulator,PowerWash Simulator,10,2020-04-03,3.98,5,48,360,1,968,50,,https://media.rawg.io/media/games/659/65959a07c4e6dc7a9034993bbb3ba232.jpg
200,max-the-curse-of-brotherhood,Max: The Curse of Brotherhood,2,2013-12-20,3.49,4,148,386,1,961,150,,https://media.rawg.io/media/screenshots/53a/53a98929b8c944db6522487896fd9264.jpg
201,super-luckys-tale,Super Lucky's Tale,2,2017-11-07,3.38,4,190,327,0,958,192,,https://media.rawg.io/media/screenshots/47a/47af3dafc5ec388085d3e7902b627b9c.jpg
202,paradise-killer,Paradise Killer,4,2020-09-03,4.03,5,36,227,0,950,36,mature,https://media.rawg.io/media/screenshots/9ed/9ed9f5e3c1ac7f70c778f0880a906c46.jpg
203,fifa-22-xbox-one,FIFA 22,11,2021-09-27,3.38,4,131,238,1,949,133,everyone,https://media.rawg.io/media/games/355/355d2ec5d6b87518228dc30a9bb0e70d.jpg
204,trailmakers,Trailmakers,3,2020-05-21,3.36,4,59,359,0,946,59,,https://media.rawg.io/media/screenshots/885/885a7caffb0899f083f095502c968e7d.jpg
205,ssx,SSX,17,2012-02-28,3.48,4,156,439,1,937,157,everyone-10-plus,https://media.rawg.io/media/games/566/566c25b3814c8b35bce7375e22d11748.jpg
206,sea-of-solitude,Sea of Solitude,2,2019-07-05,3.27,3,135,251,3,935,139,teen,https://media.rawg.io/media/games/22a/22a3b2ddb5b344b1081cc28768f8ac84.jpg
207,bugsnax,Bugsnax,5,2020-11-12,3.6,4,123,464,3,933,126,everyone-10-plus,https://media.rawg.io/media/games/313/3137f0b7fb36b53e34abcde6e7607909.jpg
208,battlefield-1943,Battlefield 1943,1,2009-07-08,3.76,4,156,539,0,926,156,teen,https://media.rawg.io/media/games/3fb/3fb4cecfa42d7cdf98dabb59bb42925e.jpg
